geoid,geography_name,title,range_min,range_max,estimate,margin_of_error,proration_available_units
0550000US08011,Bent County (Unincorporated),VALUE,100000,124999,69,21,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,125000,149999,12,2,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,150000,174999,15,5,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,175000,199999,20,19,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,200000,249999,99,37,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,250000,299999,26,3,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,300000,399999,35,13,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,400000,499999,22,28,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,500000,749999,7,-5,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,750000,999999,0,5,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,1000000,1499999,0,0,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,1500000,1999999,0,0,0.18857142857142858
0550000US08011,Bent County (Unincorporated),VALUE,2000000,5252000,0,5,0.18857142857142858
0550000US08013,Boulder County (Unincorporated),VALUE,0,10000,151,-159,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,10000,14999,12,-152,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,15000,19999,41,-144,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,20000,24999,23,-169,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,25000,29999,0,-160,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,30000,34999,25,-169,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,35000,39999,6,-203,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,40000,49999,92,-168,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,50000,59999,44,-153,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,60000,69999,20,-177,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,70000,79999,5,-166,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,80000,89999,71,-190,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,90000,99999,0,-140,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,100000,124999,48,-188,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,125000,149999,56,-186,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,150000,174999,87,-166,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,175000,199999,48,-172,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,200000,249999,339,-297,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,250000,299999,152,-415,0.2161574927574401
